Total amount Withdrawn,No Of Withdrawals
584700.0,186.0
653100.0,140.0
197500.0,42.0
494100.0,95.0
561200.0,112.0
594100.0,139.0
671200.0,139.0
182700.0,48.0
396700.0,67.0
783500.0,209.0
596300.0,168.0
823100.0,183.0
211600.0,56.0
754096.0,191.0
228600.0,60.0
975100.0,305.0
535600.0,130.0
283700.0,63.0
754096.0,191.0
544200.0,144.0
621400.0,197.0
583000.0,118.0
170700.0,49.0
342700.0,93.0
815500.0,210.0
510900.0,171.0
254300.0,76.0
303100.0,97.0
430500.0,140.0
537700.0,121.0
401100.0,198.0
621500.0,117.0
281500.0,88.0
754096.0,191.0
679300.0,138.0
648300.0,187.0
678100.0,115.0
318100.0,92.0
754096.0,191.0
544386.0,174.0
560900.0,132.0
453100.0,111.0
327800.0,113.0
439700.0,108.0
194100.0,56.0
412100.0,150.0
455500.0,92.0
344100.0,89.0
754096.0,191.0
569200.0,120.0
421100.0,122.0
624200.0,96.0
322400.0,86.0
472300.0,97.0
899800.0,222.0
767600.0,199.0
589800.0,126.0
217400.0,96.0
441500.0,106.0
825600.0,213.0
820800.0,224.0
345100.0,88.0
373100.0,112.0
442800.0,129.0
356900.0,123.0
366700.0,144.0
544900.0,117.0
343000.0,90.0
754096.0,191.0
337400.0,87.0
597500.0,202.0
502800.0,109.0
321000.0,89.0
386300.0,109.0
1023500.0,262.0
551200.0,161.0
217100.0,44.0
219700.0,91.0
368300.0,116.0
715500.0,189.0
430300.0,142.0
469200.0,100.0
237300.0,87.0
342400.0,109.0
786000.0,188.0
443900.0,130.0
545800.0,90.0
216300.0,63.0
447100.0,144.0
1033900.0,245.0
491800.0,165.0
546000.0,97.0
130200.0,69.0
612100.0,125.0
947100.0,250.0
784900.0,223.0
232500.0,96.0
179500.0,72.0
301200.0,88.0
350100.0,102.0
290900.0,134.0
503400.0,128.0
148000.0,66.0
442000.0,99.0
990400.0,229.0
531400.0,163.0
391900.0,98.0
256500.0,76.0
320300.0,78.0
1024300.0,248.0
473400.0,155.0
484200.0,102.0
296200.0,80.0
320200.0,74.0
752100.0,215.0
480400.0,168.0
454000.0,109.0
255000.0,86.0
394800.0,108.0
825000.0,229.0
509200.0,167.0
536900.0,98.0
185700.0,76.0
754096.0,191.0
696200.0,154.0
263600.0,111.0
213200.0,51.0
167500.0,55.0
384400.0,101.0
1008000.0,254.0
690700.0,216.0
487300.0,77.0
219800.0,89.0
306500.0,81.0
468500.0,133.0
335500.0,160.0
631100.0,133.0
208000.0,64.0
831510.0,205.0
593300.0,121.0
433600.0,167.0
494800.0,119.0
234500.0,48.0
694700.0,157.0
907600.0,200.0
779900.0,247.0
777200.0,134.0
163900.0,35.0
461200.0,94.0
698400.0,171.0
885400.0,239.0
364400.0,87.0
295100.0,48.0
444200.0,89.0
757000.0,184.0
491300.0,148.0
682400.0,130.0
210500.0,48.0
230800.0,46.0
922800.0,223.0
528100.0,144.0
512500.0,153.0
256000.0,89.0
535583.0,172.0
175400.0,37.0
760900.0,204.0
449600.0,103.0
382000.0,100.0
298300.0,74.0
865700.0,220.0
585100.0,171.0
550100.0,125.0
119100.0,31.0
831510.0,205.0
319300.0,67.0
597100.0,190.0
695800.0,131.0
182900.0,61.0
831510.0,205.0
463600.0,108.0
471700.0,145.0
678200.0,126.0
361100.0,104.0
831510.0,205.0
703600.0,144.0
873300.0,237.0
965400.0,176.0
491800.0,132.0
831510.0,205.0
535583.0,172.0
825100.0,185.0
499800.0,95.0
300700.0,95.0
476500.0,106.0
1091500.0,257.0
725900.0,189.0
267300.0,46.0
270700.0,87.0
523800.0,129.0
1159100.0,307.0
854500.0,239.0
481500.0,136.0
207800.0,63.0
371500.0,89.0
849900.0,213.0
400800.0,179.0
946600.0,151.0
293400.0,84.0
831510.0,205.0
683300.0,143.0
567000.0,197.0
554300.0,129.0
310400.0,80.0
831510.0,205.0
478800.0,110.0
495800.0,162.0
526700.0,113.0
252100.0,79.0
831510.0,205.0
464500.0,100.0
355600.0,143.0
236400.0,61.0
244700.0,68.0
380600.0,90.0
748400.0,176.0
447000.0,159.0
276600.0,68.0
174200.0,69.0
487800.0,88.0
752700.0,210.0
750300.0,188.0
564200.0,124.0
264400.0,86.0
488800.0,100.0
1088600.0,267.0
629700.0,222.0
292200.0,81.0
341100.0,102.0
250400.0,57.0
547100.0,141.0
316900.0,141.0
651100.0,119.0
174100.0,55.0
831510.0,205.0
530700.0,94.0
646000.0,192.0
313400.0,73.0
278600.0,77.0
365700.0,68.0
408700.0,124.0
394600.0,132.0
451800.0,88.0
221600.0,76.0
256000.0,67.0
853800.0,206.0
336000.0,143.0
428400.0,108.0
226400.0,64.0
831510.0,205.0
448300.0,101.0
439000.0,162.0
518200.0,101.0
297100.0,76.0
831510.0,205.0
227400.0,56.0
540800.0,181.0
494700.0,111.0
148600.0,57.0
308700.0,74.0
1051000.0,227.0
440300.0,156.0
307000.0,92.0
185600.0,63.0
317200.0,97.0
722600.0,170.0
464300.0,163.0
556300.0,118.0
157300.0,53.0
343200.0,104.0
1001800.0,281.0
185300.0,77.0
112000.0,30.0
150400.0,50.0
368400.0,99.0
639000.0,151.0
401600.0,119.0
327500.0,62.0
231300.0,80.0
321000.0,59.0
803600.0,165.0
495000.0,146.0
530900.0,119.0
200200.0,56.0
412400.0,102.0
849500.0,187.0
522100.0,178.0
616600.0,114.0
261200.0,52.0
482100.0,101.0
590200.0,151.0
534500.0,167.0
265200.0,69.0
106400.0,28.0
235000.0,62.0
302700.0,94.0
190500.0,126.0
616200.0,123.0
257600.0,48.0
412400.0,72.0
503800.0,143.0
451600.0,131.0
467300.0,108.0
193300.0,45.0
310000.0,70.0
708600.0,177.0
423200.0,111.0
522200.0,143.0
221200.0,76.0
95900.0,42.0
1052000.0,246.0
684800.0,198.0
701800.0,144.0
182900.0,51.0
373500.0,83.0
658200.0,189.0
557100.0,142.0
632000.0,133.0
30300.0,13.0
790752.0,205.0
622200.0,131.0
709000.0,218.0
671500.0,136.0
202800.0,64.0
790752.0,205.0
654600.0,131.0
650300.0,201.0
600000.0,118.0
361400.0,91.0
618400.0,129.0
1215000.0,287.0
752200.0,207.0
558600.0,122.0
466800.0,127.0
790752.0,205.0
583700.0,155.0
672500.0,229.0
507000.0,100.0
325300.0,85.0
790752.0,205.0
582500.0,125.0
378600.0,119.0
140700.0,55.0
374200.0,105.0
179800.0,55.0
169800.0,111.0
283600.0,86.0
514100.0,99.0
185500.0,62.0
267100.0,82.0
1017500.0,243.0
420500.0,122.0
502700.0,109.0
246100.0,76.0
515600.0,106.0
908700.0,270.0
393700.0,125.0
391400.0,83.0
346900.0,70.0
364600.0,98.0
1065700.0,246.0
353700.0,120.0
420800.0,102.0
232400.0,55.0
578800.0,118.0
1120800.0,286.0
506100.0,167.0
436300.0,97.0
255069.0,73.0
239100.0,77.0
349200.0,114.0
400.0,1.0
520000.0,107.0
332800.0,86.0
202500.0,66.0
980500.0,266.0
338300.0,132.0
334600.0,96.0
277800.0,81.0
336100.0,81.0
844200.0,239.0
684000.0,197.0
352800.0,93.0
286200.0,86.0
426700.0,80.0
874400.0,219.0
422900.0,162.0
553600.0,104.0
234400.0,78.0
335900.0,82.0
948100.0,250.0
404200.0,130.0
381300.0,92.0
261500.0,85.0
427800.0,96.0
832700.0,218.0
81300.0,45.0
432800.0,88.0
252200.0,85.0
790752.0,205.0
341900.0,86.0
439600.0,161.0
359600.0,79.0
212700.0,80.0
237700.0,83.0
467400.0,120.0
95600.0,36.0
315500.0,94.0
290600.0,90.0
790752.0,205.0
359900.0,78.0
408300.0,126.0
259000.0,85.0
272400.0,78.0
439800.0,97.0
635800.0,195.0
315900.0,131.0
420300.0,95.0
153100.0,76.0
475300.0,97.0
1120100.0,221.0
408600.0,139.0
258500.0,50.0
288100.0,81.0
409600.0,99.0
972400.0,233.0
310300.0,136.0
475400.0,113.0
340700.0,96.0
790752.0,205.0
511600.0,111.0
692000.0,187.0
538800.0,112.0
151900.0,38.0
524500.0,117.0
933600.0,207.0
755800.0,234.0
407300.0,109.0
169900.0,53.0
258900.0,71.0
344600.0,113.0
440200.0,177.0
382400.0,101.0
163300.0,44.0
420500.0,97.0
680000.0,154.0
503800.0,171.0
689200.0,128.0
145700.0,26.0
291500.0,60.0
795800.0,180.0
566500.0,149.0
968700.0,180.0
116700.0,45.0
454900.0,99.0
1043500.0,251.0
542500.0,184.0
691600.0,156.0
456400.0,130.0
778933.0,195.0
468000.0,110.0
682000.0,253.0
339000.0,93.0
168700.0,48.0
389300.0,97.0
1037500.0,267.0
606900.0,171.0
386500.0,87.0
67500.0,22.0
212100.0,75.0
352300.0,119.0
214400.0,147.0
451700.0,101.0
419700.0,94.0
503600.0,123.0
1040300.0,232.0
600200.0,159.0
182700.0,36.0
262600.0,70.0
564200.0,128.0
923100.0,250.0
735500.0,192.0
501600.0,121.0
451200.0,111.0
778933.0,195.0
410500.0,104.0
617300.0,190.0
650900.0,130.0
366200.0,90.0
778933.0,195.0
406900.0,109.0
685600.0,167.0
254000.0,57.0
338800.0,90.0
512500.0,116.0
879100.0,201.0
568200.0,163.0
451600.0,94.0
308600.0,76.0
366100.0,80.0
863000.0,229.0
480200.0,155.0
568200.0,117.0
406200.0,120.0
778933.0,195.0
568700.0,105.0
557100.0,173.0
430300.0,107.0
349100.0,118.0
315200.0,119.0
355700.0,108.0
278000.0,167.0
526100.0,110.0
291300.0,95.0
778933.0,195.0
277500.0,94.0
585600.0,171.0
503400.0,101.0
241900.0,76.0
428800.0,106.0
936700.0,208.0
562600.0,190.0
548000.0,124.0
226200.0,77.0
778933.0,195.0
324400.0,107.0
824600.0,195.0
411700.0,92.0
287200.0,90.0
521500.0,106.0
869000.0,212.0
535500.0,188.0
444800.0,107.0
304600.0,77.0
778933.0,195.0
353000.0,92.0
396400.0,116.0
479700.0,104.0
436000.0,130.0
437200.0,84.0
1196900.0,291.0
566900.0,162.0
276500.0,76.0
220700.0,67.0
358700.0,78.0
457000.0,146.0
416900.0,160.0
472300.0,84.0
363900.0,97.0
778933.0,195.0
359600.0,108.0
494600.0,144.0
246000.0,76.0
235400.0,76.0
163000.0,68.0
384700.0,111.0
230300.0,85.0
344100.0,101.0
210800.0,89.0
480700.0,105.0
969400.0,243.0
445600.0,114.0
362900.0,121.0
343200.0,94.0
778933.0,195.0
430300.0,100.0
398000.0,133.0
177600.0,53.0
468700.0,109.0
244600.0,80.0
854200.0,195.0
486400.0,126.0
146400.0,33.0
264300.0,98.0
549300.0,103.0
991400.0,233.0
171400.0,85.0
442800.0,107.0
376000.0,106.0
169600.0,69.0
449800.0,140.0
262600.0,117.0
821300.0,155.0
364300.0,118.0
778933.0,195.0
381700.0,105.0
1037800.0,251.0
315400.0,78.0
429200.0,125.0
725500.0,192.0
427100.0,95.0
377900.0,144.0
606700.0,127.0
469500.0,120.0
725500.0,192.0
628000.0,98.0
792900.0,221.0
471000.0,109.0
245300.0,74.0
579900.0,122.0
1191800.0,269.0
831400.0,193.0
269200.0,63.0
377700.0,102.0
725500.0,192.0
713100.0,144.0
509600.0,134.0
458000.0,80.0
355500.0,100.0
725500.0,192.0
461300.0,122.0
635200.0,205.0
905800.0,145.0
431100.0,127.0
725500.0,192.0
757500.0,146.0
839600.0,225.0
682600.0,141.0
273400.0,90.0
725500.0,192.0
679100.0,117.0
741700.0,167.0
824000.0,161.0
495900.0,127.0
725500.0,192.0
750600.0,161.0
386200.0,77.0
829800.0,145.0
417800.0,129.0
619100.0,140.0
997200.0,219.0
403400.0,123.0
666700.0,138.0
391300.0,106.0
725500.0,192.0
674500.0,116.0
875100.0,205.0
528900.0,144.0
572700.0,133.0
725500.0,192.0
820600.0,167.0
789300.0,204.0
648300.0,127.0
358500.0,119.0
486627.0,108.0
569300.0,138.0
419400.0,128.0
394600.0,94.0
289800.0,103.0
318800.0,104.0
842200.0,234.0
344500.0,138.0
174000.0,41.0
268900.0,96.0
166000.0,60.0
399100.0,153.0
2600.0,4.0
197000.0,57.0
261100.0,83.0
282700.0,62.0
442900.0,160.0
100500.0,33.0
298200.0,90.0
378500.0,120.0
152900.0,65.0
603300.0,201.0
237000.0,90.0
486700.0,86.0
324400.0,90.0
725500.0,192.0
269100.0,55.0
556900.0,151.0
348600.0,90.0
254400.0,107.0
725500.0,192.0
411200.0,102.0
710300.0,165.0
520000.0,116.0
248100.0,84.0
475300.0,110.0
858000.0,240.0
408100.0,139.0
395800.0,89.0
222900.0,106.0
578800.0,124.0
354800.0,123.0
314600.0,130.0
583500.0,124.0
393900.0,86.0
554000.0,147.0
1095900.0,225.0
514100.0,155.0
512000.0,106.0
310100.0,89.0
725500.0,192.0
369600.0,89.0
399500.0,124.0
332800.0,68.0
329200.0,102.0
725500.0,192.0
336300.0,97.0
737300.0,196.0
648700.0,123.0
350400.0,96.0
510300.0,102.0
933800.0,306.0
628200.0,199.0
365300.0,73.0
228200.0,74.0
263700.0,83.0
642700.0,152.0
152600.0,89.0
396000.0,82.0
128800.0,58.0
238900.0,68.0
843800.0,155.0
21000.0,3.0
246900.0,75.0
197100.0,98.0
497427.0,142.0
420200.0,85.0
382200.0,116.0
672700.0,132.0
494200.0,129.0
725500.0,192.0
568500.0,113.0
523300.0,148.0
504800.0,102.0
378100.0,116.0
725500.0,192.0
441500.0,108.0
525300.0,148.0
371500.0,71.0
211500.0,85.0
725500.0,192.0
438900.0,98.0
520100.0,139.0
573900.0,106.0
297000.0,99.0
725500.0,192.0
691300.0,130.0
625200.0,173.0
670700.0,137.0
401000.0,108.0
788780.0,192.0
452100.0,106.0
772300.0,191.0
688700.0,134.0
289000.0,122.0
788780.0,192.0
767000.0,126.0
921900.0,221.0
803600.0,141.0
122300.0,46.0
513509.0,114.0
788780.0,192.0
830800.0,229.0
755300.0,139.0
404600.0,103.0
788780.0,192.0
518600.0,147.0
631400.0,179.0
555400.0,110.0
236800.0,74.0
788780.0,192.0
825600.0,143.0
639600.0,182.0
738900.0,148.0
467400.0,132.0
513509.0,114.0
853600.0,197.0
653100.0,194.0
404000.0,94.0
342500.0,91.0
788780.0,192.0
875100.0,193.0
592600.0,159.0
571822.0,114.0
586900.0,139.0
513509.0,114.0
788780.0,192.0
48400.0,29.0
735500.0,153.0
312200.0,85.0
788780.0,192.0
817800.0,162.0
759100.0,180.0
606100.0,130.0
436500.0,119.0
513509.0,114.0
1079600.0,237.0
705400.0,220.0
297400.0,68.0
449800.0,150.0
349900.0,70.0
302300.0,144.0
233000.0,79.0
658000.0,133.0
443800.0,114.0
513509.0,114.0
788780.0,192.0
653500.0,162.0
638600.0,117.0
282300.0,90.0
656900.0,110.0
1107200.0,239.0
575300.0,176.0
644600.0,124.0
282700.0,91.0
443400.0,98.0
889000.0,215.0
522200.0,119.0
651000.0,117.0
297300.0,72.0
425000.0,143.0
952300.0,196.0
363000.0,113.0
551100.0,125.0
234100.0,81.0
788780.0,192.0
410900.0,96.0
494800.0,150.0
484200.0,103.0
381000.0,115.0
277400.0,75.0
389000.0,111.0
440200.0,132.0
484500.0,99.0
293600.0,72.0
788780.0,192.0
569500.0,135.0
609200.0,170.0
551000.0,106.0
241100.0,76.0
634100.0,134.0
898100.0,214.0
731400.0,229.0
458200.0,96.0
380200.0,104.0
237900.0,63.0
1004700.0,241.0
653100.0,201.0
521800.0,91.0
192900.0,71.0
436000.0,92.0
760100.0,218.0
557800.0,155.0
402100.0,88.0
194300.0,81.0
395500.0,89.0
833600.0,204.0
492000.0,156.0
599100.0,99.0
175300.0,96.0
504800.0,103.0
920200.0,184.0
712500.0,215.0
358200.0,98.0
243100.0,107.0
160400.0,78.0
215100.0,76.0
26700.0,14.0
572500.0,122.0
391600.0,91.0
788780.0,192.0
532500.0,121.0
628400.0,162.0
295000.0,57.0
304200.0,82.0
514400.0,127.0
923100.0,212.0
670300.0,174.0
480100.0,101.0
338000.0,96.0
513900.0,114.0
703800.0,188.0
528000.0,133.0
833600.0,150.0
457200.0,111.0
788780.0,192.0
492000.0,102.0
606800.0,172.0
480700.0,91.0
314800.0,94.0
778079.0,189.0
671600.0,117.0
738100.0,188.0
519400.0,122.0
338700.0,94.0
583500.0,114.0
640600.0,170.0
516400.0,193.0
525000.0,120.0
201000.0,74.0
476100.0,119.0
517200.0,131.0
413300.0,171.0
577300.0,117.0
297700.0,98.0
778079.0,189.0
621700.0,133.0
464100.0,152.0
491900.0,102.0
575300.0,138.0
778079.0,189.0
780300.0,142.0
733800.0,243.0
664900.0,143.0
328600.0,86.0
778079.0,189.0
784500.0,133.0
771600.0,195.0
800000.0,137.0
426300.0,113.0
778079.0,189.0
497420.0,161.0
867000.0,182.0
539823.0,110.0
292900.0,93.0
530466.0,116.0
778079.0,189.0
502900.0,195.0
747200.0,160.0
368500.0,119.0
778079.0,189.0
838200.0,157.0
882200.0,208.0
813200.0,151.0
400000.0,116.0
778079.0,189.0
713600.0,161.0
908900.0,232.0
562800.0,100.0
387200.0,121.0
191400.0,53.0
668800.0,146.0
158000.0,45.0
826700.0,150.0
484600.0,107.0
530466.0,116.0
778079.0,189.0
869800.0,202.0
767800.0,122.0
286400.0,76.0
778079.0,189.0
398200.0,86.0
395500.0,124.0
593200.0,115.0
337800.0,99.0
463400.0,95.0
971600.0,214.0
378800.0,126.0
447600.0,107.0
453000.0,97.0
778079.0,189.0
359700.0,81.0
492300.0,170.0
555700.0,115.0
331100.0,111.0
530600.0,107.0
1171900.0,286.0
645700.0,224.0
499200.0,98.0
305200.0,103.0
293100.0,87.0
439700.0,143.0
289400.0,144.0
589700.0,104.0
313500.0,84.0
356900.0,114.0
1015600.0,237.0
228800.0,103.0
516700.0,99.0
207400.0,86.0
778079.0,189.0
494600.0,110.0
549000.0,198.0
639700.0,145.0
444200.0,119.0
778079.0,189.0
444900.0,122.0
465400.0,157.0
392800.0,73.0
272700.0,115.0
609700.0,117.0
1027900.0,238.0
532300.0,182.0
347200.0,93.0
257000.0,89.0
580100.0,127.0
978600.0,196.0
415700.0,171.0
501800.0,118.0
219300.0,98.0
778079.0,189.0
391100.0,101.0
566200.0,152.0
197800.0,72.0
269600.0,96.0
294400.0,79.0
352500.0,121.0
240900.0,127.0
475300.0,96.0
295700.0,85.0
487600.0,118.0
954500.0,229.0
393400.0,135.0
249900.0,53.0
254200.0,102.0
778079.0,189.0
391200.0,96.0
444100.0,138.0
319400.0,79.0
91200.0,47.0
562500.0,118.0
914300.0,205.0
477200.0,162.0
672400.0,107.0
360000.0,97.0
778079.0,189.0
778100.0,170.0
122300.0,48.0
519400.0,94.0
361100.0,105.0
352800.0,82.0
901300.0,202.0
384200.0,119.0
444000.0,114.0
388500.0,111.0
778079.0,189.0
722900.0,147.0
604500.0,191.0
456000.0,102.0
379800.0,113.0
343800.0,98.0
338600.0,126.0
337800.0,141.0
505600.0,104.0
356900.0,104.0
741275.0,174.0
682900.0,143.0
633100.0,185.0
763600.0,135.0
231400.0,81.0
741275.0,174.0
909100.0,180.0
887800.0,205.0
608400.0,118.0
319700.0,82.0
741275.0,174.0
620200.0,127.0
988400.0,225.0
655000.0,129.0
297500.0,100.0
741275.0,174.0
689144.0,182.0
456700.0,135.0
771000.0,118.0
276500.0,85.0
741275.0,174.0
721100.0,156.0
1024000.0,260.0
560300.0,114.0
408100.0,127.0
493829.0,120.0
741275.0,174.0
703300.0,198.0
666200.0,136.0
568600.0,148.0
493829.0,120.0
741275.0,174.0
899700.0,230.0
565000.0,159.0
373100.0,137.0
283000.0,90.0
553400.0,144.0
597300.0,232.0
374000.0,88.0
344600.0,125.0
493829.0,120.0
741275.0,174.0
849500.0,208.0
723100.0,150.0
366400.0,117.0
493829.0,120.0
741275.0,174.0
930400.0,238.0
870400.0,160.0
220900.0,92.0
493829.0,120.0
741275.0,174.0
845400.0,161.0
614500.0,122.0
479500.0,121.0
493829.0,120.0
741275.0,174.0
893400.0,240.0
505000.0,114.0
263200.0,109.0
741275.0,174.0
618900.0,140.0
828700.0,217.0
333200.0,66.0
233300.0,110.0
385100.0,98.0
686800.0,158.0
408900.0,132.0
347000.0,86.0
337000.0,102.0
741275.0,174.0
498600.0,106.0
486800.0,137.0
461100.0,97.0
443400.0,115.0
478700.0,127.0
987100.0,253.0
619900.0,157.0
536600.0,104.0
228400.0,97.0
582400.0,133.0
493100.0,110.0
815400.0,166.0
341800.0,91.0
148500.0,49.0
741275.0,174.0
406800.0,106.0
686000.0,200.0
603300.0,116.0
332900.0,93.0
741275.0,174.0
569700.0,162.0
769200.0,222.0
590800.0,119.0
389200.0,111.0
741275.0,174.0
689144.0,182.0
525600.0,138.0
548200.0,99.0
240800.0,111.0
234500.0,91.0
901500.0,182.0
516000.0,136.0
548000.0,106.0
211900.0,84.0
741275.0,174.0
689144.0,182.0
334300.0,105.0
560200.0,99.0
360600.0,100.0
741275.0,174.0
417000.0,99.0
452700.0,131.0
688900.0,98.0
309300.0,110.0
193800.0,71.0
853800.0,211.0
450300.0,125.0
454500.0,93.0
282300.0,89.0
584400.0,125.0
1064500.0,222.0
371700.0,94.0
344300.0,62.0
309600.0,102.0
741275.0,174.0
480800.0,120.0
281900.0,118.0
657800.0,111.0
475300.0,129.0
741275.0,174.0
550500.0,118.0
685400.0,179.0
119100.0,27.0
307000.0,131.0
196200.0,70.0
390000.0,111.0
551300.0,153.0
213200.0,64.0
310500.0,104.0
741275.0,174.0
490000.0,116.0
650400.0,170.0
644500.0,118.0
460800.0,116.0
741275.0,174.0
631600.0,134.0
780000.0,185.0
1034000.0,169.0
148800.0,47.0
748100.0,160.0
1032200.0,248.0
983100.0,245.0
558000.0,124.0
367000.0,110.0
800700.0,175.0
1156400.0,246.0
802000.0,215.0
470100.0,117.0
253100.0,88.0
906200.0,220.0
717000.0,149.0
693300.0,174.0
542800.0,100.0
400200.0,115.0
906200.0,220.0
823300.0,171.0
668600.0,190.0
406500.0,113.0
572600.0,139.0
527300.0,145.0
540100.0,175.0
495600.0,184.0
765500.0,142.0
288500.0,95.0
595350.0,129.0
906200.0,220.0
870500.0,231.0
704400.0,121.0
375400.0,116.0
595350.0,129.0
906200.0,220.0
937400.0,235.0
816800.0,170.0
362800.0,97.0
906200.0,220.0
950000.0,181.0
887000.0,198.0
656600.0,135.0
295100.0,121.0
906200.0,220.0
828100.0,156.0
829100.0,193.0
954500.0,173.0
395200.0,128.0
595350.0,129.0
906200.0,220.0
858900.0,242.0
894500.0,143.0
273500.0,98.0
906200.0,220.0
834500.0,184.0
879100.0,165.0
794600.0,143.0
451200.0,117.0
595350.0,129.0
906200.0,220.0
910300.0,202.0
645700.0,126.0
423000.0,109.0
906200.0,220.0
890100.0,190.0
833200.0,186.0
349200.0,81.0
405000.0,107.0
906200.0,220.0
470500.0,111.0
525500.0,156.0
553300.0,123.0
357900.0,89.0
616700.0,103.0
1066100.0,247.0
464500.0,150.0
494100.0,119.0
291200.0,100.0
906200.0,220.0
507500.0,94.0
397800.0,115.0
307100.0,71.0
169300.0,75.0
419400.0,101.0
1162000.0,278.0
440800.0,122.0
509400.0,106.0
443200.0,118.0
906200.0,220.0
415700.0,95.0
721500.0,209.0
278600.0,76.0
321500.0,113.0
248700.0,82.0
797200.0,179.0
359100.0,144.0
410200.0,97.0
262300.0,108.0
906200.0,220.0
425100.0,104.0
363700.0,129.0
660200.0,112.0
425500.0,107.0
906200.0,220.0
597000.0,105.0
692100.0,168.0
709300.0,131.0
425400.0,120.0
906200.0,220.0
489200.0,108.0
460400.0,134.0
421300.0,113.0
327100.0,99.0
524300.0,126.0
973200.0,244.0
476200.0,130.0
445100.0,90.0
283000.0,106.0
906200.0,220.0
309200.0,87.0
464300.0,131.0
659400.0,121.0
136900.0,40.0
605900.0,124.0
1034000.0,266.0
540000.0,139.0
272300.0,98.0
321953.0,100.0
293400.0,88.0
428600.0,107.0
139500.0,80.0
482700.0,113.0
102500.0,59.0
595350.0,129.0
906200.0,220.0
637300.0,178.0
497600.0,120.0
191300.0,75.0
906200.0,220.0
590300.0,125.0
326300.0,132.0
638100.0,101.0
219200.0,90.0
645100.0,128.0
872200.0,207.0
355700.0,126.0
399500.0,103.0
289500.0,93.0
906200.0,220.0
445700.0,121.0
488900.0,136.0
406700.0,102.0
401400.0,128.0
906200.0,220.0
756300.0,149.0
501100.0,154.0
375500.0,105.0
307200.0,95.0
293200.0,65.0
542800.0,131.0
583500.0,233.0
860200.0,153.0
235900.0,90.0
785758.0,192.0
804300.0,172.0
690400.0,174.0
705600.0,135.0
286800.0,96.0
785758.0,192.0
631300.0,156.0
734300.0,190.0
757600.0,151.0
222900.0,86.0
785758.0,192.0
874400.0,169.0
828000.0,249.0
429100.0,86.0
197500.0,77.0
785758.0,192.0
528900.0,148.0
691400.0,184.0
727100.0,134.0
293400.0,96.0
785758.0,192.0
597400.0,121.0
997300.0,201.0
517800.0,100.0
334300.0,105.0
785758.0,192.0
696200.0,133.0
920700.0,246.0
617900.0,122.0
292200.0,97.0
785758.0,192.0
747000.0,174.0
733100.0,189.0
633100.0,132.0
377800.0,131.0
494200.0,149.0
1040200.0,239.0
819800.0,193.0
351300.0,77.0
474200.0,149.0
526300.0,135.0
645300.0,136.0
593800.0,187.0
953900.0,146.0
375900.0,104.0
785758.0,192.0
724400.0,146.0
646400.0,178.0
234500.0,46.0
585200.0,127.0
785758.0,192.0
508000.0,151.0
775300.0,200.0
566500.0,106.0
325500.0,102.0
335000.0,76.0
740300.0,159.0
521500.0,167.0
551000.0,97.0
382900.0,104.0
785758.0,192.0
477100.0,104.0
493000.0,151.0
799400.0,156.0
421900.0,120.0
785758.0,192.0
562000.0,111.0
649800.0,176.0
155800.0,28.0
332700.0,111.0
307000.0,72.0
313700.0,103.0
223500.0,113.0
413300.0,93.0
387200.0,118.0
785758.0,192.0
532700.0,120.0
627700.0,141.0
444700.0,117.0
397300.0,115.0
323700.0,85.0
1048100.0,256.0
557000.0,191.0
610600.0,123.0
344000.0,97.0
785758.0,192.0
615700.0,111.0
592200.0,173.0
520500.0,105.0
557700.0,128.0
785758.0,192.0
263800.0,87.0
630400.0,145.0
450900.0,96.0
268600.0,84.0
447900.0,89.0
1001300.0,251.0
755700.0,161.0
721800.0,147.0
463800.0,141.0
780500.0,154.0
1123700.0,268.0
520200.0,160.0
388600.0,122.0
179800.0,98.0
298200.0,106.0
359200.0,115.0
243500.0,93.0
462000.0,113.0
218800.0,93.0
332200.0,93.0
1153700.0,271.0
606000.0,169.0
145100.0,38.0
196000.0,68.0
785758.0,192.0
550200.0,107.0
206700.0,78.0
574000.0,118.0
162100.0,55.0
785758.0,192.0
506000.0,95.0
672500.0,164.0
410600.0,94.0
346000.0,100.0
451400.0,116.0
816100.0,189.0
519900.0,153.0
647300.0,97.0
320800.0,93.0
785758.0,192.0
446100.0,113.0
495400.0,132.0
763400.0,128.0
407100.0,128.0
785758.0,192.0
802000.0,157.0
912600.0,220.0
827200.0,170.0
425600.0,133.0
477200.0,123.0
644700.0,185.0
575700.0,194.0
863100.0,152.0
273500.0,99.0
894379.0,214.0
763100.0,140.0
424000.0,152.0
915100.0,173.0
597700.0,118.0
894379.0,214.0
395900.0,89.0
814900.0,222.0
568700.0,131.0
308500.0,104.0
894379.0,214.0
701400.0,149.0
436900.0,164.0
631600.0,128.0
370000.0,124.0
419400.0,109.0
749300.0,158.0
411700.0,183.0
365300.0,111.0
210700.0,71.0
894379.0,214.0
729100.0,156.0
807100.0,209.0
453200.0,101.0
209700.0,73.0
894379.0,214.0
526900.0,123.0
528300.0,126.0
593500.0,145.0
531100.0,144.0
328900.0,93.0
616400.0,169.0
588400.0,203.0
820800.0,154.0
444300.0,111.0
894379.0,214.0
180400.0,37.0
672500.0,176.0
619800.0,132.0
611700.0,150.0
894379.0,214.0
782400.0,130.0
622500.0,185.0
707700.0,137.0
366400.0,119.0
